what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636319263
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1437636343958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1437636344114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636345772
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1437636345772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636426720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636430327
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437636434375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636444446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636444761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636445472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636445780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636446416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636446814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636447471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636447793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636448463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636448862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636450133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636451310
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636500321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636513821
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636518726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437636526272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1437636538779
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636540246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1437636545541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437636555946
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437636565022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437636618083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636619201
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636672202
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636685432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636687879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636690965
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636696687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636743070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636751078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636790293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437636867143
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636870273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437636870350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1437636916868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437636934653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637241974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437637243356
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437637244343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637308709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637309699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637310701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637352916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437637355337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637377885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437637379652
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437637382893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437637383207
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437637386230
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437637386553
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437637387672
